,hdim,loss
0,150,0.825587123632431
1,83,0.8276146352291107
2,101,0.8298225998878479
3,82,0.8310237526893616
4,233,0.8327664434909821
5,73,0.8331390917301178
6,100,0.8334612846374512
7,70,0.8352522253990173
8,186,0.8353650867938995
9,254,0.8372214734554291
10,103,0.8375959396362305
11,258,0.8380338847637177
12,125,0.8390769064426422
13,52,0.8393417596817017
14,168,0.8396269083023071
15,216,0.8396866917610168
16,53,0.8400375843048096
17,11,0.8400818407535553
18,238,0.8403950929641724
19,13,0.8404335975646973
20,115,0.8404771387577057
21,74,0.8407931625843048
22,8,0.8410969376564026
23,213,0.8411915004253387
24,7,0.8412246406078339
25,81,0.8412632942199707
26,10,0.8413510620594025
27,54,0.841774970293045
28,108,0.8418774604797363
29,64,0.8418804705142975
30,4,0.842155247926712
31,144,0.8422262370586395
32,77,0.8422705829143524
33,25,0.8423893749713898
34,90,0.8428717255592346
35,193,0.8430728316307068
36,122,0.8434780836105347
37,250,0.8440150916576385
38,137,0.8441441059112549
39,120,0.8442166745662689
40,56,0.8442604243755341
41,134,0.8443936705589294
42,106,0.8446555733680725
43,246,0.8450022041797638
44,243,0.8451100587844849
45,123,0.8452779650688171
46,116,0.8453157544136047
47,69,0.8454503118991852
48,244,0.8455293774604797
49,194,0.845778614282608
50,42,0.845780998468399
51,48,0.8458867073059082
52,247,0.8458878099918365
53,49,0.8458988964557648
54,227,0.8461206257343292
55,97,0.8463598191738129
56,38,0.846371054649353
57,87,0.8464593589305878
58,171,0.8464914858341217
59,166,0.8464922606945038
60,215,0.8465685844421387
61,138,0.8467195630073547
62,62,0.8468454480171204
63,96,0.8468790054321289
64,5,0.8470917642116547
65,88,0.847091794013977
66,236,0.8472821712493896
67,15,0.8475195467472076
68,61,0.8475408852100372
69,65,0.8476769030094147
70,41,0.8476870954036713
71,117,0.8477649390697479
72,46,0.8477843701839447
73,223,0.8477920293807983
74,94,0.8477948009967804
75,128,0.8482019603252411
76,36,0.8483373820781708
77,170,0.8483972549438477
78,85,0.8485694527626038
79,147,0.8486636281013489
80,126,0.8487421870231628
81,210,0.8487594723701477
82,159,0.8487966954708099
83,157,0.8488131165504456
84,110,0.84937384724617
85,218,0.8496136963367462
86,104,0.8496509790420532
87,16,0.8500705659389496
